county,year,month,births,Pop2010
"Suffolk County, NY",2017,May,434,1493350
"Suffolk County, NY",2017,June,432,1493350
"Suffolk County, NY",2017,July,521,1493350
"Suffolk County, NY",2017,August,513,1493350
"Suffolk County, NY",2017,September,448,1493350
"Suffolk County, NY",2017,October,426,1493350
"Suffolk County, NY",2017,November,452,1493350
"Suffolk County, NY",2017,December,398,1493350
"Suffolk County, NY",2018,January,461,1493350
"Suffolk County, NY",2018,February,357,1493350
"Suffolk County, NY",2018,March,393,1493350
"Suffolk County, NY",2018,April,400,1493350
"Suffolk County, NY",2018,May,455,1493350
"Suffolk County, NY",2018,June,428,1493350
"Suffolk County, NY",2018,July,425,1493350
"Suffolk County, NY",2018,August,432,1493350
"Suffolk County, NY",2018,September,442,1493350
"Suffolk County, NY",2018,October,470,1493350
"Suffolk County, NY",2018,November,389,1493350
"Suffolk County, NY",2018,December,395,1493350
"Suffolk County, NY",2019,January,379,1493350
"Suffolk County, NY",2019,February,324,1493350
"Suffolk County, NY",2019,March,349,1493350
