county,year,month,crashes,pop2010
Anderson,2010,January,138,75129
Anderson,2010,February,113,75129
Anderson,2010,March,169,75129
Anderson,2010,April,169,75129
Anderson,2010,May,155,75129
Anderson,2010,June,152,75129
Anderson,2010,July,165,75129
Anderson,2010,August,176,75129
Anderson,2010,September,178,75129
Anderson,2010,October,169,75129
Anderson,2010,November,179,75129
Anderson,2010,December,152,75129
Bedford,2010,January,71,45058
Bedford,2010,February,72,45058
Bedford,2010,March,77,45058
Bedford,2010,April,70,45058
Bedford,2010,May,87,45058
Bedford,2010,June,99,45058
Bedford,2010,July,90,45058
Bedford,2010,August,91,45058
Bedford,2010,September,86,45058
Bedford,2010,October,118,45058
Bedford,2010,November,105,45058
Bedford,2010,December,95,45058
Benton,2010,January,21,16489
Benton,2010,February,23,16489
Benton,2010,March,27,16489
Benton,2010,April,32,16489
Benton,2010,May,34,16489
Benton,2010,June,29,16489
Benton,2010,July,16,16489
Benton,2010,August,43,16489
Benton,2010,September,31,16489
Benton,2010,October,50,16489
Benton,2010,November,29,16489
Benton,2010,December,36,16489
Bledsoe,2010,January,5,12876
Bledsoe,2010,February,1,12876
Bledsoe,2010,March,3,12876
Bledsoe,2010,April,3,12876
Bledsoe,2010,May,5,12876
Bledsoe,2010,June,1,12876
Bledsoe,2010,July,7,12876
Bledsoe,2010,August,4,12876
Bledsoe,2010,September,3,12876
Bledsoe,2010,October,6,12876
Bledsoe,2010,November,4,12876
Bledsoe,2010,December,3,12876
Blount,2010,January,126,123010
Blount,2010,February,159,123010
Blount,2010,March,171,123010
Blount,2010,April,145,123010
Blount,2010,May,153,123010
Blount,2010,June,139,123010
Blount,2010,July,201,123010
Blount,2010,August,264,123010
Blount,2010,September,338,123010
Blount,2010,October,267,123010
Blount,2010,November,316,123010
Blount,2010,December,269,123010
Bradley,2010,January,201,98963
Bradley,2010,February,197,98963
Bradley,2010,March,203,98963
Bradley,2010,April,241,98963
Bradley,2010,May,253,98963
Bradley,2010,June,226,98963
Bradley,2010,July,216,98963
Bradley,2010,August,186,98963
Bradley,2010,September,179,98963
Bradley,2010,October,264,98963
Bradley,2010,November,240,98963
Bradley,2010,December,251,98963
Campbell,2010,January,93,40716
Campbell,2010,February,84,40716
Campbell,2010,March,81,40716
Campbell,2010,April,91,40716
Campbell,2010,May,76,40716
Campbell,2010,June,107,40716
Campbell,2010,July,119,40716
Campbell,2010,August,76,40716
Campbell,2010,September,103,40716
Campbell,2010,October,95,40716
Campbell,2010,November,79,40716
Campbell,2010,December,87,40716
Cannon,2010,January,29,13801
Cannon,2010,February,23,13801
Cannon,2010,March,24,13801
Cannon,2010,April,18,13801
Cannon,2010,May,29,13801
Cannon,2010,June,27,13801
Cannon,2010,July,27,13801
Cannon,2010,August,14,13801
Cannon,2010,September,29,13801
Cannon,2010,October,15,13801
Cannon,2010,November,21,13801
Cannon,2010,December,28,13801
Carroll,2010,January,38,28522
Carroll,2010,February,39,28522
Carroll,2010,March,39,28522
Carroll,2010,April,36,28522
Carroll,2010,May,53,28522
Carroll,2010,June,29,28522
Carroll,2010,July,34,28522
Carroll,2010,August,38,28522
Carroll,2010,September,40,28522
Carroll,2010,October,48,28522
Carroll,2010,November,52,28522
Carroll,2010,December,53,28522
Carter,2010,January,82,57424
Carter,2010,February,110,57424
Carter,2010,March,104,57424
Carter,2010,April,89,57424
Carter,2010,May,95,57424
Carter,2010,June,113,57424
Carter,2010,July,74,57424
Carter,2010,August,110,57424
Carter,2010,September,108,57424
Carter,2010,October,109,57424
Carter,2010,November,111,57424
Carter,2010,December,158,57424
Cheatham,2010,January,70,39105
Cheatham,2010,February,51,39105
Cheatham,2010,March,51,39105
Cheatham,2010,April,73,39105
Cheatham,2010,May,73,39105
Cheatham,2010,June,85,39105
Cheatham,2010,July,69,39105
Cheatham,2010,August,59,39105
Cheatham,2010,September,76,39105
Cheatham,2010,October,77,39105
Cheatham,2010,November,80,39105
Cheatham,2010,December,98,39105
Chester,2010,January,23,17131
Chester,2010,February,30,17131
Chester,2010,March,29,17131
Chester,2010,April,18,17131
Chester,2010,May,25,17131
Chester,2010,June,19,17131
Chester,2010,July,29,17131
Chester,2010,August,35,17131
Chester,2010,September,29,17131
Chester,2010,October,30,17131
Chester,2010,November,33,17131
Chester,2010,December,37,17131
Claiborne,2010,January,40,32213
Claiborne,2010,February,34,32213
Claiborne,2010,March,45,32213
Claiborne,2010,April,61,32213
Claiborne,2010,May,56,32213
Claiborne,2010,June,52,32213
Claiborne,2010,July,49,32213
Claiborne,2010,August,47,32213
Claiborne,2010,September,57,32213
Claiborne,2010,October,48,32213
Claiborne,2010,November,49,32213
Claiborne,2010,December,46,32213
Clay,2010,January,6,7861
Clay,2010,February,7,7861
Clay,2010,March,6,7861
Clay,2010,April,9,7861
Clay,2010,May,11,7861
Clay,2010,June,12,7861
Clay,2010,July,5,7861
Clay,2010,August,8,7861
Clay,2010,September,10,7861
Clay,2010,October,5,7861
Clay,2010,November,3,7861
Clay,2010,December,4,7861
Cocke,2010,January,69,35662
Cocke,2010,February,70,35662
Cocke,2010,March,81,35662
Cocke,2010,April,99,35662
Cocke,2010,May,96,35662
Cocke,2010,June,76,35662
Cocke,2010,July,90,35662
Cocke,2010,August,96,35662
Cocke,2010,September,79,35662
Cocke,2010,October,86,35662
Cocke,2010,November,96,35662
Cocke,2010,December,120,35662
Coffee,2010,January,75,52796
Coffee,2010,February,70,52796
Coffee,2010,March,110,52796
Coffee,2010,April,125,52796
Coffee,2010,May,134,52796
Coffee,2010,June,140,52796
Coffee,2010,July,117,52796
Coffee,2010,August,99,52796
Coffee,2010,September,120,52796
Coffee,2010,October,103,52796
Coffee,2010,November,109,52796
Coffee,2010,December,125,52796
Crockett,2010,January,17,14586
Crockett,2010,February,14,14586
Crockett,2010,March,15,14586
Crockett,2010,April,12,14586
Crockett,2010,May,23,14586
Crockett,2010,June,17,14586
Crockett,2010,July,17,14586
Crockett,2010,August,20,14586
Crockett,2010,September,20,14586
Crockett,2010,October,28,14586
Crockett,2010,November,15,14586
Crockett,2010,December,18,14586
Cumberland,2010,January,119,56053
Cumberland,2010,February,69,56053
Cumberland,2010,March,87,56053
Cumberland,2010,April,121,56053
Cumberland,2010,May,111,56053
Cumberland,2010,June,114,56053
Cumberland,2010,July,128,56053
Cumberland,2010,August,141,56053
Cumberland,2010,September,132,56053
Cumberland,2010,October,130,56053
Cumberland,2010,November,162,56053
Cumberland,2010,December,151,56053
Davidson,2010,January,1888,626681
Davidson,2010,February,1493,626681
Davidson,2010,March,1570,626681
Davidson,2010,April,1704,626681
Davidson,2010,May,1955,626681
Davidson,2010,June,1899,626681
Davidson,2010,July,1692,626681
Davidson,2010,August,1855,626681
Davidson,2010,September,1789,626681
Davidson,2010,October,1868,626681
Davidson,2010,November,1984,626681
Davidson,2010,December,2076,626681
Decatur,2010,January,25,11757
Decatur,2010,February,18,11757
Decatur,2010,March,21,11757
Decatur,2010,April,19,11757
Decatur,2010,May,19,11757
Decatur,2010,June,16,11757
Decatur,2010,July,14,11757
Decatur,2010,August,25,11757
Decatur,2010,September,21,11757
Decatur,2010,October,17,11757
Decatur,2010,November,22,11757
Decatur,2010,December,21,11757
DeKalb,2010,January,24,18723
DeKalb,2010,February,25,18723
DeKalb,2010,March,25,18723
DeKalb,2010,April,25,18723
DeKalb,2010,May,29,18723
DeKalb,2010,June,27,18723
DeKalb,2010,July,53,18723
DeKalb,2010,August,34,18723
DeKalb,2010,September,25,18723
DeKalb,2010,October,28,18723
DeKalb,2010,November,33,18723
DeKalb,2010,December,27,18723
Dickson,2010,January,133,49666
Dickson,2010,February,98,49666
Dickson,2010,March,104,49666
Dickson,2010,April,103,49666
Dickson,2010,May,102,49666
Dickson,2010,June,109,49666
Dickson,2010,July,102,49666
Dickson,2010,August,110,49666
Dickson,2010,September,85,49666
Dickson,2010,October,112,49666
Dickson,2010,November,129,49666
Dickson,2010,December,160,49666
Dyer,2010,January,56,38335
Dyer,2010,February,64,38335
Dyer,2010,March,71,38335
Dyer,2010,April,85,38335
Dyer,2010,May,78,38335
Dyer,2010,June,87,38335
Dyer,2010,July,73,38335
Dyer,2010,August,60,38335
Dyer,2010,September,65,38335
Dyer,2010,October,91,38335
Dyer,2010,November,78,38335
Dyer,2010,December,75,38335
Fayette,2010,January,45,38413
Fayette,2010,February,45,38413
Fayette,2010,March,43,38413
Fayette,2010,April,53,38413
Fayette,2010,May,61,38413
Fayette,2010,June,39,38413
Fayette,2010,July,43,38413
Fayette,2010,August,46,38413
Fayette,2010,September,43,38413
Fayette,2010,October,46,38413
Fayette,2010,November,66,38413
Fayette,2010,December,53,38413
Fentress,2010,January,8,17959
Fentress,2010,February,9,17959
Fentress,2010,March,7,17959
Fentress,2010,April,9,17959
Fentress,2010,May,9,17959
Fentress,2010,June,6,17959
Fentress,2010,July,7,17959
Fentress,2010,August,8,17959
Fentress,2010,September,23,17959
Fentress,2010,October,18,17959
Fentress,2010,November,12,17959
Fentress,2010,December,8,17959
Franklin,2010,January,38,41052
Franklin,2010,February,39,41052
Franklin,2010,March,51,41052
Franklin,2010,April,36,41052
Franklin,2010,May,43,41052
Franklin,2010,June,32,41052
Franklin,2010,July,32,41052
Franklin,2010,August,27,41052
Franklin,2010,September,44,41052
Franklin,2010,October,52,41052
Franklin,2010,November,46,41052
Franklin,2010,December,69,41052
Gibson,2010,January,82,49683
Gibson,2010,February,65,49683
Gibson,2010,March,67,49683
Gibson,2010,April,76,49683
Gibson,2010,May,74,49683
Gibson,2010,June,64,49683
Gibson,2010,July,58,49683
Gibson,2010,August,58,49683
Gibson,2010,September,71,49683
Gibson,2010,October,92,49683
Gibson,2010,November,79,49683
Gibson,2010,December,82,49683
Giles,2010,January,50,29485
Giles,2010,February,41,29485
Giles,2010,March,37,29485
Giles,2010,April,37,29485
Giles,2010,May,36,29485
Giles,2010,June,48,29485
Giles,2010,July,33,29485
Giles,2010,August,45,29485
Giles,2010,September,40,29485
Giles,2010,October,51,29485
Giles,2010,November,50,29485
Giles,2010,December,42,29485
Grainger,2010,January,19,22657
Grainger,2010,February,15,22657
Grainger,2010,March,27,22657
Grainger,2010,April,30,22657
Grainger,2010,May,29,22657
Grainger,2010,June,31,22657
Grainger,2010,July,24,22657
Grainger,2010,August,28,22657
Grainger,2010,September,51,22657
Grainger,2010,October,30,22657
Grainger,2010,November,32,22657
Grainger,2010,December,38,22657
Greene,2010,January,167,68831
Greene,2010,February,154,68831
Greene,2010,March,156,68831
Greene,2010,April,160,68831
Greene,2010,May,177,68831
Greene,2010,June,148,68831
Greene,2010,July,150,68831
Greene,2010,August,157,68831
Greene,2010,September,168,68831
Greene,2010,October,191,68831
Greene,2010,November,196,68831
Greene,2010,December,203,68831
Grundy,2010,January,25,13703
Grundy,2010,February,16,13703
Grundy,2010,March,15,13703
Grundy,2010,April,19,13703
Grundy,2010,May,25,13703
Grundy,2010,June,18,13703
Grundy,2010,July,21,13703
Grundy,2010,August,27,13703
Grundy,2010,September,20,13703
Grundy,2010,October,20,13703
Grundy,2010,November,31,13703
Grundy,2010,December,28,13703
Hamblen,2010,January,130,62544
Hamblen,2010,February,123,62544
Hamblen,2010,March,140,62544
Hamblen,2010,April,135,62544
Hamblen,2010,May,141,62544
Hamblen,2010,June,141,62544
Hamblen,2010,July,144,62544
Hamblen,2010,August,132,62544
Hamblen,2010,September,154,62544
Hamblen,2010,October,146,62544
Hamblen,2010,November,149,62544
Hamblen,2010,December,152,62544
Hamilton,2010,January,821,336463
Hamilton,2010,February,699,336463
Hamilton,2010,March,841,336463
Hamilton,2010,April,916,336463
Hamilton,2010,May,900,336463
Hamilton,2010,June,838,336463
Hamilton,2010,July,767,336463
Hamilton,2010,August,800,336463
Hamilton,2010,September,946,336463
Hamilton,2010,October,897,336463
Hamilton,2010,November,947,336463
Hamilton,2010,December,903,336463
Hancock,2010,January,9,6819
Hancock,2010,February,5,6819
Hancock,2010,March,4,6819
Hancock,2010,April,6,6819
Hancock,2010,May,12,6819
Hancock,2010,June,8,6819
Hancock,2010,July,9,6819
Hancock,2010,August,9,6819
Hancock,2010,September,7,6819
Hancock,2010,October,10,6819
Hancock,2010,November,15,6819
Hancock,2010,December,10,6819
Hardeman,2010,January,27,27253
Hardeman,2010,February,21,27253
Hardeman,2010,March,38,27253
Hardeman,2010,April,39,27253
Hardeman,2010,May,30,27253
Hardeman,2010,June,27,27253
Hardeman,2010,July,40,27253
Hardeman,2010,August,33,27253
Hardeman,2010,September,35,27253
Hardeman,2010,October,26,27253
Hardeman,2010,November,28,27253
Hardeman,2010,December,40,27253
Hardin,2010,January,73,26026
Hardin,2010,February,43,26026
Hardin,2010,March,59,26026
Hardin,2010,April,47,26026
Hardin,2010,May,70,26026
Hardin,2010,June,56,26026
Hardin,2010,July,61,26026
Hardin,2010,August,56,26026
Hardin,2010,September,57,26026
Hardin,2010,October,74,26026
Hardin,2010,November,55,26026
Hardin,2010,December,84,26026
Hawkins,2010,January,74,56833
Hawkins,2010,February,79,56833
Hawkins,2010,March,92,56833
Hawkins,2010,April,76,56833
Hawkins,2010,May,78,56833
Hawkins,2010,June,85,56833
Hawkins,2010,July,90,56833
Hawkins,2010,August,86,56833
Hawkins,2010,September,95,56833
Hawkins,2010,October,78,56833
Hawkins,2010,November,99,56833
Hawkins,2010,December,89,56833
Haywood,2010,January,45,18787
Haywood,2010,February,38,18787
Haywood,2010,March,27,18787
Haywood,2010,April,26,18787
Haywood,2010,May,53,18787
Haywood,2010,June,39,18787
Haywood,2010,July,36,18787
Haywood,2010,August,34,18787
Haywood,2010,September,25,18787
Haywood,2010,October,46,18787
Haywood,2010,November,38,18787
Haywood,2010,December,46,18787
Henderson,2010,January,78,27769
Henderson,2010,February,72,27769
Henderson,2010,March,45,27769
Henderson,2010,April,69,27769
Henderson,2010,May,71,27769
Henderson,2010,June,58,27769
Henderson,2010,July,60,27769
Henderson,2010,August,83,27769
Henderson,2010,September,61,27769
Henderson,2010,October,75,27769
Henderson,2010,November,70,27769
Henderson,2010,December,89,27769
Henry,2010,January,38,32330
Henry,2010,February,42,32330
Henry,2010,March,42,32330
Henry,2010,April,52,32330
Henry,2010,May,39,32330
Henry,2010,June,38,32330
Henry,2010,July,50,32330
Henry,2010,August,39,32330
Henry,2010,September,56,32330
Henry,2010,October,35,32330
Henry,2010,November,44,32330
Henry,2010,December,37,32330
Hickman,2010,January,46,24690
Hickman,2010,February,57,24690
Hickman,2010,March,41,24690
Hickman,2010,April,32,24690
Hickman,2010,May,41,24690
Hickman,2010,June,38,24690
Hickman,2010,July,52,24690
Hickman,2010,August,37,24690
Hickman,2010,September,36,24690
Hickman,2010,October,35,24690
Hickman,2010,November,53,24690
Hickman,2010,December,57,24690
Houston,2010,January,12,8426
Houston,2010,February,9,8426
Houston,2010,March,18,8426
Houston,2010,April,8,8426
Houston,2010,May,6,8426
Houston,2010,June,7,8426
Houston,2010,July,5,8426
Houston,2010,August,9,8426
Houston,2010,September,11,8426
Houston,2010,October,13,8426
Houston,2010,November,8,8426
Houston,2010,December,8,8426
Humphreys,2010,January,49,18538
Humphreys,2010,February,23,18538
Humphreys,2010,March,29,18538
Humphreys,2010,April,34,18538
Humphreys,2010,May,31,18538
Humphreys,2010,June,39,18538
Humphreys,2010,July,34,18538
Humphreys,2010,August,34,18538
Humphreys,2010,September,33,18538
Humphreys,2010,October,40,18538
Humphreys,2010,November,29,18538
Humphreys,2010,December,23,18538
Jackson,2010,January,22,11638
Jackson,2010,February,13,11638
Jackson,2010,March,20,11638
Jackson,2010,April,24,11638
Jackson,2010,May,26,11638
Jackson,2010,June,21,11638
Jackson,2010,July,17,11638
Jackson,2010,August,19,11638
Jackson,2010,September,14,11638
Jackson,2010,October,20,11638
Jackson,2010,November,18,11638
Jackson,2010,December,17,11638
Jefferson,2010,January,95,51407
Jefferson,2010,February,77,51407
Jefferson,2010,March,79,51407
Jefferson,2010,April,93,51407
Jefferson,2010,May,89,51407
Jefferson,2010,June,95,51407
Jefferson,2010,July,94,51407
Jefferson,2010,August,94,51407
Jefferson,2010,September,109,51407
Jefferson,2010,October,102,51407
Jefferson,2010,November,77,51407
Jefferson,2010,December,117,51407
Johnson,2010,January,20,18244
Johnson,2010,February,28,18244
Johnson,2010,March,25,18244
Johnson,2010,April,20,18244
Johnson,2010,May,26,18244
Johnson,2010,June,26,18244
Johnson,2010,July,22,18244
Johnson,2010,August,34,18244
Johnson,2010,September,26,18244
Johnson,2010,October,28,18244
Johnson,2010,November,41,18244
Johnson,2010,December,59,18244
Knox,2010,January,894,432226
Knox,2010,February,858,432226
Knox,2010,March,1027,432226
Knox,2010,April,1110,432226
Knox,2010,May,1058,432226
Knox,2010,June,974,432226
Knox,2010,July,906,432226
Knox,2010,August,1005,432226
Knox,2010,September,1177,432226
Knox,2010,October,1156,432226
Knox,2010,November,1149,432226
Knox,2010,December,940,432226
Lake,2010,January,1,7832
Lake,2010,February,2,7832
Lake,2010,March,0,7832
Lake,2010,April,2,7832
Lake,2010,May,2,7832
Lake,2010,June,0,7832
Lake,2010,July,1,7832
Lake,2010,August,1,7832
Lake,2010,September,2,7832
Lake,2010,October,4,7832
Lake,2010,November,2,7832
Lake,2010,December,2,7832
Lauderdale,2010,January,30,27815
Lauderdale,2010,February,16,27815
Lauderdale,2010,March,28,27815
Lauderdale,2010,April,26,27815
Lauderdale,2010,May,22,27815
Lauderdale,2010,June,21,27815
Lauderdale,2010,July,32,27815
Lauderdale,2010,August,21,27815
Lauderdale,2010,September,31,27815
Lauderdale,2010,October,27,27815
Lauderdale,2010,November,32,27815
Lauderdale,2010,December,27,27815
Lawrence,2010,January,78,41869
Lawrence,2010,February,56,41869
Lawrence,2010,March,51,41869
Lawrence,2010,April,70,41869
Lawrence,2010,May,77,41869
Lawrence,2010,June,62,41869
Lawrence,2010,July,66,41869
Lawrence,2010,August,80,41869
Lawrence,2010,September,64,41869
Lawrence,2010,October,73,41869
Lawrence,2010,November,88,41869
Lawrence,2010,December,81,41869
Lewis,2010,January,21,12161
Lewis,2010,February,11,12161
Lewis,2010,March,14,12161
Lewis,2010,April,16,12161
Lewis,2010,May,22,12161
Lewis,2010,June,22,12161
Lewis,2010,July,18,12161
Lewis,2010,August,21,12161
Lewis,2010,September,18,12161
Lewis,2010,October,23,12161
Lewis,2010,November,21,12161
Lewis,2010,December,16,12161
Lincoln,2010,January,61,33361
Lincoln,2010,February,60,33361
Lincoln,2010,March,72,33361
Lincoln,2010,April,61,33361
Lincoln,2010,May,67,33361
Lincoln,2010,June,69,33361
Lincoln,2010,July,59,33361
Lincoln,2010,August,66,33361
Lincoln,2010,September,69,33361
Lincoln,2010,October,76,33361
Lincoln,2010,November,61,33361
Lincoln,2010,December,61,33361
Loudon,2010,January,87,48556
Loudon,2010,February,74,48556
Loudon,2010,March,96,48556
Loudon,2010,April,113,48556
Loudon,2010,May,118,48556
Loudon,2010,June,97,48556
Loudon,2010,July,112,48556
Loudon,2010,August,95,48556
Loudon,2010,September,121,48556
Loudon,2010,October,124,48556
Loudon,2010,November,116,48556
Loudon,2010,December,103,48556
Macon,2010,January,28,22248
Macon,2010,February,33,22248
Macon,2010,March,23,22248
Macon,2010,April,29,22248
Macon,2010,May,28,22248
Macon,2010,June,28,22248
Macon,2010,July,31,22248
Macon,2010,August,32,22248
Macon,2010,September,33,22248
Macon,2010,October,28,22248
Macon,2010,November,53,22248
Macon,2010,December,39,22248
Madison,2010,January,248,98294
Madison,2010,February,274,98294
Madison,2010,March,232,98294
Madison,2010,April,257,98294
Madison,2010,May,297,98294
Madison,2010,June,269,98294
Madison,2010,July,235,98294
Madison,2010,August,254,98294
Madison,2010,September,271,98294
Madison,2010,October,309,98294
Madison,2010,November,310,98294
Madison,2010,December,365,98294
Marion,2010,January,62,28237
Marion,2010,February,45,28237
Marion,2010,March,53,28237
Marion,2010,April,60,28237
Marion,2010,May,56,28237
Marion,2010,June,72,28237
Marion,2010,July,69,28237
Marion,2010,August,62,28237
Marion,2010,September,38,28237
Marion,2010,October,46,28237
Marion,2010,November,59,28237
Marion,2010,December,58,28237
Marshall,2010,January,44,30617
Marshall,2010,February,51,30617
Marshall,2010,March,61,30617
Marshall,2010,April,54,30617
Marshall,2010,May,52,30617
Marshall,2010,June,66,30617
Marshall,2010,July,63,30617
Marshall,2010,August,48,30617
Marshall,2010,September,41,30617
Marshall,2010,October,63,30617
Marshall,2010,November,62,30617
Marshall,2010,December,54,30617
Maury,2010,January,153,80956
Maury,2010,February,151,80956
Maury,2010,March,166,80956
Maury,2010,April,165,80956
Maury,2010,May,169,80956
Maury,2010,June,172,80956
Maury,2010,July,154,80956
Maury,2010,August,164,80956
Maury,2010,September,159,80956
Maury,2010,October,202,80956
Maury,2010,November,220,80956
Maury,2010,December,213,80956
McMinn,2010,January,130,52266
McMinn,2010,February,94,52266
McMinn,2010,March,102,52266
McMinn,2010,April,126,52266
McMinn,2010,May,134,52266
McMinn,2010,June,108,52266
McMinn,2010,July,107,52266
McMinn,2010,August,96,52266
McMinn,2010,September,123,52266
McMinn,2010,October,121,52266
McMinn,2010,November,133,52266
McMinn,2010,December,120,52266
McNairy,2010,January,48,26075
McNairy,2010,February,41,26075
McNairy,2010,March,35,26075
McNairy,2010,April,38,26075
McNairy,2010,May,42,26075
McNairy,2010,June,45,26075
McNairy,2010,July,41,26075
McNairy,2010,August,45,26075
McNairy,2010,September,29,26075
McNairy,2010,October,53,26075
McNairy,2010,November,47,26075
McNairy,2010,December,62,26075
Meigs,2010,January,11,11753
Meigs,2010,February,8,11753
Meigs,2010,March,10,11753
Meigs,2010,April,14,11753
Meigs,2010,May,18,11753
Meigs,2010,June,12,11753
Meigs,2010,July,17,11753
Meigs,2010,August,15,11753
Meigs,2010,September,16,11753
Meigs,2010,October,11,11753
Meigs,2010,November,18,11753
Meigs,2010,December,14,11753
Monroe,2010,January,59,44519
Monroe,2010,February,59,44519
Monroe,2010,March,73,44519
Monroe,2010,April,75,44519
Monroe,2010,May,81,44519
Monroe,2010,June,64,44519
Monroe,2010,July,84,44519
Monroe,2010,August,83,44519
Monroe,2010,September,92,44519
Monroe,2010,October,84,44519
Monroe,2010,November,71,44519
Monroe,2010,December,89,44519
Montgomery,2010,January,321,172331
Montgomery,2010,February,315,172331
Montgomery,2010,March,290,172331
Montgomery,2010,April,300,172331
Montgomery,2010,May,298,172331
Montgomery,2010,June,267,172331
Montgomery,2010,July,330,172331
Montgomery,2010,August,377,172331
Montgomery,2010,September,430,172331
Montgomery,2010,October,450,172331
Montgomery,2010,November,437,172331
Montgomery,2010,December,424,172331
Moore,2010,January,12,6362
Moore,2010,February,6,6362
Moore,2010,March,15,6362
Moore,2010,April,8,6362
Moore,2010,May,7,6362
Moore,2010,June,8,6362
Moore,2010,July,13,6362
Moore,2010,August,5,6362
Moore,2010,September,7,6362
Moore,2010,October,6,6362
Moore,2010,November,6,6362
Moore,2010,December,15,6362
Morgan,2010,January,43,21987
Morgan,2010,February,37,21987
Morgan,2010,March,28,21987
Morgan,2010,April,30,21987
Morgan,2010,May,28,21987
Morgan,2010,June,34,21987
Morgan,2010,July,32,21987
Morgan,2010,August,36,21987
Morgan,2010,September,30,21987
Morgan,2010,October,52,21987
Morgan,2010,November,37,21987
Morgan,2010,December,24,21987
Obion,2010,January,48,31807
Obion,2010,February,72,31807
Obion,2010,March,41,31807
Obion,2010,April,51,31807
Obion,2010,May,63,31807
Obion,2010,June,63,31807
Obion,2010,July,50,31807
Obion,2010,August,43,31807
Obion,2010,September,45,31807
Obion,2010,October,62,31807
Obion,2010,November,52,31807
Obion,2010,December,61,31807
Overton,2010,January,50,22083
Overton,2010,February,29,22083
Overton,2010,March,32,22083
Overton,2010,April,44,22083
Overton,2010,May,34,22083
Overton,2010,June,35,22083
Overton,2010,July,45,22083
Overton,2010,August,42,22083
Overton,2010,September,34,22083
Overton,2010,October,43,22083
Overton,2010,November,56,22083
Overton,2010,December,45,22083
Perry,2010,January,21,7915
Perry,2010,February,14,7915
Perry,2010,March,10,7915
Perry,2010,April,22,7915
Perry,2010,May,18,7915
Perry,2010,June,18,7915
Perry,2010,July,17,7915
Perry,2010,August,10,7915
Perry,2010,September,15,7915
Perry,2010,October,17,7915
Perry,2010,November,13,7915
Perry,2010,December,15,7915
Pickett,2010,January,8,5077
Pickett,2010,February,4,5077
Pickett,2010,March,2,5077
Pickett,2010,April,6,5077
Pickett,2010,May,7,5077
Pickett,2010,June,10,5077
Pickett,2010,July,3,5077
Pickett,2010,August,6,5077
Pickett,2010,September,5,5077
Pickett,2010,October,11,5077
Pickett,2010,November,7,5077
Pickett,2010,December,4,5077
Polk,2010,January,11,16825
Polk,2010,February,25,16825
Polk,2010,March,24,16825
Polk,2010,April,21,16825
Polk,2010,May,31,16825
Polk,2010,June,18,16825
Polk,2010,July,30,16825
Polk,2010,August,26,16825
Polk,2010,September,32,16825
Polk,2010,October,23,16825
Polk,2010,November,18,16825
Polk,2010,December,29,16825
Putnam,2010,January,180,72321
Putnam,2010,February,154,72321
Putnam,2010,March,169,72321
Putnam,2010,April,166,72321
Putnam,2010,May,179,72321
Putnam,2010,June,170,72321
Putnam,2010,July,177,72321
Putnam,2010,August,194,72321
Putnam,2010,September,174,72321
Putnam,2010,October,209,72321
Putnam,2010,November,220,72321
Putnam,2010,December,193,72321
Rhea,2010,January,27,31809
Rhea,2010,February,28,31809
Rhea,2010,March,29,31809
Rhea,2010,April,27,31809
Rhea,2010,May,33,31809
Rhea,2010,June,29,31809
Rhea,2010,July,41,31809
Rhea,2010,August,39,31809
Rhea,2010,September,35,31809
Rhea,2010,October,37,31809
Rhea,2010,November,36,31809
Rhea,2010,December,27,31809
Roane,2010,January,89,54181
Roane,2010,February,62,54181
Roane,2010,March,98,54181
Roane,2010,April,89,54181
Roane,2010,May,84,54181
Roane,2010,June,108,54181
Roane,2010,July,111,54181
Roane,2010,August,99,54181
Roane,2010,September,101,54181
Roane,2010,October,119,54181
Roane,2010,November,120,54181
Roane,2010,December,74,54181
Robertson,2010,January,140,66283
Robertson,2010,February,120,66283
Robertson,2010,March,102,66283
Robertson,2010,April,113,66283
Robertson,2010,May,129,66283
Robertson,2010,June,102,66283
Robertson,2010,July,127,66283
Robertson,2010,August,112,66283
Robertson,2010,September,130,66283
Robertson,2010,October,119,66283
Robertson,2010,November,129,66283
Robertson,2010,December,158,66283
Rutherford,2010,January,599,262604
Rutherford,2010,February,488,262604
Rutherford,2010,March,527,262604
Rutherford,2010,April,575,262604
Rutherford,2010,May,553,262604
Rutherford,2010,June,573,262604
Rutherford,2010,July,525,262604
Rutherford,2010,August,633,262604
Rutherford,2010,September,651,262604
Rutherford,2010,October,651,262604
Rutherford,2010,November,691,262604
Rutherford,2010,December,744,262604
Scott,2010,January,10,22228
Scott,2010,February,5,22228
Scott,2010,March,8,22228
Scott,2010,April,6,22228
Scott,2010,May,9,22228
Scott,2010,June,11,22228
Scott,2010,July,10,22228
Scott,2010,August,6,22228
Scott,2010,September,39,22228
Scott,2010,October,14,22228
Scott,2010,November,8,22228
Scott,2010,December,8,22228
Sequatchie,2010,January,15,14112
Sequatchie,2010,February,17,14112
Sequatchie,2010,March,16,14112
Sequatchie,2010,April,21,14112
Sequatchie,2010,May,18,14112
Sequatchie,2010,June,28,14112
Sequatchie,2010,July,30,14112
Sequatchie,2010,August,21,14112
Sequatchie,2010,September,13,14112
Sequatchie,2010,October,28,14112
Sequatchie,2010,November,33,14112
Sequatchie,2010,December,19,14112
Sevier,2010,January,160,89889
Sevier,2010,February,172,89889
Sevier,2010,March,192,89889
Sevier,2010,April,226,89889
Sevier,2010,May,244,89889
Sevier,2010,June,306,89889
Sevier,2010,July,320,89889
Sevier,2010,August,242,89889
