county,year,month,births,Pop2010
"St. Johns County, FL",2019,January,60,190039
"St. Johns County, FL",2019,February,72,190039
"St. Johns County, FL",2019,March,63,190039
"St. Johns County, FL",2019,April,63,190039
"St. Johns County, FL",2019,May,73,190039
"St. Johns County, FL",2019,June,86,190039
"St. Johns County, FL",2019,July,68,190039
"St. Johns County, FL",2019,August,84,190039
"St. Johns County, FL",2019,September,82,190039
"St. Johns County, FL",2019,October,88,190039
"St. Johns County, FL",2019,November,74,190039
"St. Johns County, FL",2019,December,67,190039
"Douglas County, GA",2016,January,65,132403
"Douglas County, GA",2016,February,66,132403
"Douglas County, GA",2016,March,43,132403
"Douglas County, GA",2016,April,53,132403
"Douglas County, GA",2016,May,50,132403
"Douglas County, GA",2016,June,42,132403
"Douglas County, GA",2016,July,64,132403
"Douglas County, GA",2016,August,50,132403
"Douglas County, GA",2016,September,56,132403
"Douglas County, GA",2016,October,56,132403
"Douglas County, GA",2016,November,47,132403
"Douglas County, GA",2016,December,54,132403
"Douglas County, GA",2017,January,49,132403
"Douglas County, GA",2017,February,43,132403
"Douglas County, GA",2017,March,57,132403
"Douglas County, GA",2017,April,47,132403
"Douglas County, GA",2017,May,54,132403
"Douglas County, GA",2017,June,58,132403
"Douglas County, GA",2017,July,46,132403
"Douglas County, GA",2017,August,64,132403
"Douglas County, GA",2017,September,66,132403
"Douglas County, GA",2017,October,54,132403
"Douglas County, GA",2017,November,56,132403
"Douglas County, GA",2017,December,53,132403
"Douglas County, GA",2018,January,46,132403
"Douglas County, GA",2018,February,56,132403
"Douglas County, GA",2018,March,49,132403
"Douglas County, GA",2018,April,45,132403
"Douglas County, GA",2018,May,47,132403
"Douglas County, GA",2018,June,57,132403
"Douglas County, GA",2018,July,59,132403
"Douglas County, GA",2018,August,54,132403
"Douglas County, GA",2018,September,61,132403
"Douglas County, GA",2018,October,40,132403
"Douglas County, GA",2018,November,59,132403
"Douglas County, GA",2018,December,60,132403
"Douglas County, GA",2019,January,46,132403
"Douglas County, GA",2019,February,46,132403
"Douglas County, GA",2019,March,38,132403
"Douglas County, GA",2019,April,44,132403
"Douglas County, GA",2019,May,36,132403
"Douglas County, GA",2019,June,47,132403
"Douglas County, GA",2019,July,51,132403
"Douglas County, GA",2019,August,46,132403
"Douglas County, GA",2019,September,45,132403
"Douglas County, GA",2019,October,58,132403
"Douglas County, GA",2019,November,52,132403
"Douglas County, GA",2019,December,46,132403
"Paulding County, GA",2016,January,51,142324
"Paulding County, GA",2016,February,56,142324
"Paulding County, GA",2016,March,49,142324
"Paulding County, GA",2016,April,52,142324
"Paulding County, GA",2016,May,57,142324
"Paulding County, GA",2016,June,56,142324
"Paulding County, GA",2016,July,69,142324
"Paulding County, GA",2016,August,50,142324
"Paulding County, GA",2016,September,66,142324
"Paulding County, GA",2016,October,45,142324
"Paulding County, GA",2016,November,44,142324
"Paulding County, GA",2016,December,51,142324
"Paulding County, GA",2017,January,47,142324
"Paulding County, GA",2017,February,46,142324
"Paulding County, GA",2017,March,50,142324
"Paulding County, GA",2017,April,56,142324
"Paulding County, GA",2017,May,42,142324
"Paulding County, GA",2017,June,54,142324
"Paulding County, GA",2017,July,46,142324
"Paulding County, GA",2017,August,56,142324
"Paulding County, GA",2017,September,53,142324
"Paulding County, GA",2017,October,49,142324
"Paulding County, GA",2017,November,56,142324
"Paulding County, GA",2017,December,48,142324
"Paulding County, GA",2018,January,55,142324
"Paulding County, GA",2018,February,53,142324
"Paulding County, GA",2018,March,66,142324
"Paulding County, GA",2018,April,60,142324
"Paulding County, GA",2018,May,54,142324
"Paulding County, GA",2018,June,62,142324
"Paulding County, GA",2018,July,52,142324
"Paulding County, GA",2018,August,70,142324
"Paulding County, GA",2018,September,56,142324
"Paulding County, GA",2018,October,45,142324
"Paulding County, GA",2018,November,53,142324
"Paulding County, GA",2018,December,50,142324
"Paulding County, GA",2019,January,56,142324
"Paulding County, GA",2019,February,39,142324
"Paulding County, GA",2019,March,47,142324
"Paulding County, GA",2019,April,43,142324
"Paulding County, GA",2019,May,38,142324
"Paulding County, GA",2019,June,56,142324
"Paulding County, GA",2019,July,64,142324
"Paulding County, GA",2019,August,53,142324
"Paulding County, GA",2019,September,70,142324
"Paulding County, GA",2019,October,52,142324
"Paulding County, GA",2019,November,56,142324
"Paulding County, GA",2019,December,49,142324
"Tazewell County, IL",2016,January,52,135394
"Tazewell County, IL",2016,February,57,135394
"Tazewell County, IL",2016,March,57,135394
"Tazewell County, IL",2016,April,58,135394
"Tazewell County, IL",2016,May,42,135394
"Tazewell County, IL",2016,June,64,135394
"Tazewell County, IL",2016,July,56,135394
"Tazewell County, IL",2016,August,47,135394
"Tazewell County, IL",2016,September,56,135394
"Tazewell County, IL",2016,October,55,135394
"Tazewell County, IL",2016,November,57,135394
